index,x,y,z,roll,pitch,yaw,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
60,-741.997619628906,-734.780700683594,0,180,0,339.905073165894,39.6819461583033,-75.7567159220822,0,0.201606697219654,12.0489155125193
61,-741.808227539063,-734.849853515625,0,180,0,339.950794219971,39.6819455370334,-75.7567137111947,0,0.201622116528235,12.2505376290476
62,-741.618835449219,-734.919006347656,0,180,0,339.99667930603,39.6819449157636,-75.7567115003072,0,0.201622116528235,12.4521597455758
63,-741.429382324219,-734.987854003906,0,180,0,340.04273223877,39.6819442972354,-75.7567092887073,0,0.201575014184258,12.65373475976
64,-741.239807128906,-735.056518554688,0,180,0,340.088953018188,39.6819436803523,-75.7567070756823,0,0.201627317622795,12.8553620773828
65,-741.050231933594,-735.125122070312,0,180,0,340.135339736938,39.6819430640175,-75.7567048626573,0,0.201606540156519,13.0569686175394
66,-740.860534667969,-735.193603515625,0,180,0,340.18189239502,39.6819424487794,-75.7567026482074,0,0.201679847624126,13.2586484651635
67,-740.670837402344,-735.261840820313,0,180,0,340.228614807129,39.6819418357345,-75.7567004337574,0,0.20159707918672,13.4602455443502
68,-740.481079101563,-735.329956054688,0,180,0,340.275505065918,39.6819412237865,-75.7566982185949,0,0.201613238328609,13.6618587826788
69,-740.291259765625,-735.397888183594,0,180,0,340.322559356689,39.6819406134834,-75.75669600272,0,0.2016089145685,13.8634676972473
70,-740.101379394531,-735.465698242188,0,180,0,340.369781494141,39.681940004277,-75.7566937861325,0,0.201625294477623,14.0650929917249
71,-739.911499023438,-735.533386230469,0,180,0,340.41717338562,39.6819393961672,-75.7566915695451,0,0.201584272909031,14.266677264634
72,-739.721435546875,-735.600830078125,0,180,0,340.464727401733,39.6819387902509,-75.7566893508201,0,0.201674980376108,14.4683522450101
73,-739.531433105469,-735.668212890625,0,180,0,340.512451171875,39.6819381848828,-75.7566871328076,0,0.201597051468382,14.6699492964785
74,-739.34130859375,-735.7353515625,0,180,0,340.560342788696,39.6819375817081,-75.7566849133702,0,0.201630680248399,14.8715799767269
75,-739.151184082031,-735.802368164063,0,180,0,340.608400344849,39.6819369796301,-75.7566826939327,0,0.201590066325898,15.0731700430528
76,-738.9609375,-735.869262695313,0,180,0,340.656627655029,39.6819363786488,-75.7566804730702,0,0.201664672874875,15.2748347159276
77,-738.770629882812,-735.935913085938,0,180,0,340.705018997192,39.6819357798608,-75.7566782514953,0,0.201641423646157,15.4764761395738
78,-738.580322265625,-736.002502441406,0,180,0,340.753578186035,39.6819351816212,-75.7566760299203,0,0.201621257364712,15.6780973969385
79,-738.389892578125,-736.06884765625,0,180,0,340.802305221558,39.6819345855749,-75.7566738069204,0,0.201656027467594,15.8797534244061
80,-738.199462890625,-736.135070800781,0,180,0,340.851196289062,39.6819339906253,-75.7566715839204,0,0.201615899057972,16.0813693234641
81,-738.008972167969,-736.201110839844,0,180,0,340.900259017944,39.6819333973207,-75.7566693602079,0,0.201613497012171,16.2829828204762
82,-737.818420410156,-736.266967773438,0,180,0,340.949485778809,39.6819328056611,-75.756667135783,0,0.201611279713723,16.48459410019
83,-737.627746582031,-736.332702636719,0,180,0,340.998880386353,39.6819322150982,-75.756664909933,0,0.201686838892494,16.6862809390825
84,-737.437072753906,-736.398315429688,0,180,0,341.048442840576,39.681931625632,-75.7566626840831,0,0.201647086100945,16.8879280251834
85,-737.246337890625,-736.463684082031,0,180,0,341.098171234131,39.6819310383592,-75.7566604575206,0,0.201625516193152,17.0895535413766
86,-737.055541992187,-736.528930664062,0,180,0,341.148065567017,39.681930452183,-75.7566582302456,0,0.201643723748927,17.2911972651255
87,-736.86474609375,-736.593933105469,0,180,0,341.198129653931,39.6819298682001,-75.7566560029707,0,0.201564858666747,17.4927621237922
88,-736.673767089844,-736.658874511719,0,180,0,341.248357772827,39.6819292847657,-75.7566537735582,0,0.201718532065725,17.694480655858
89,-736.482849121094,-736.7236328125,0,180,0,341.298757553101,39.6819287029762,-75.7566515448582,0,0.201601855923255,17.8960825117812
90,-736.291748046875,-736.788146972656,0,180,0,341.349321365356,39.6819281233801,-75.7566493140208,0,0.201697043677458,18.0977795554587
91,-736.100708007813,-736.852600097656,0,180,0,341.400053024292,39.6819275443323,-75.7566470838958,0,0.201619696079691,18.2993992515384
92,-735.909484863281,-736.916748046875,0,180,0,341.450950622559,39.6819269680262,-75.7566448516334,0,0.201695935490507,18.5010951870289
93,-735.718322753906,-736.980834960938,0,180,0,341.502014160156,39.6819263922685,-75.7566426200834,0,0.201618661375265,18.7027138484041
94,-735.527099609375,-737.044677734375,0,180,0,341.553247451782,39.6819258187041,-75.7566403878209,0,0.201599084136341,18.9043129325405
95,-735.335693359375,-737.1083984375,0,180,0,341.604646682739,39.6819252462364,-75.756638153421,0,0.201734182888788,19.1060471154293
96,-735.144348144531,-737.171936035156,0,180,0,341.656213760376,39.6819246754137,-75.7566359197335,0,0.201618495082987,19.3076656105122
97,-734.952941894531,-737.2353515625,0,180,0,341.707946777344,39.6819241056877,-75.7566336853335,0,0.201637996536735,19.509303607049
98,-734.761413574219,-737.298522949219,0,180,0,341.759847640991,39.681923538155,-75.7566314495086,0,0.201677270860396,19.7109808779094
99,-734.56982421875,-737.361572265625,0,180,0,341.811916351318,39.681922971719,-75.7566292129711,0,0.201697043677458,19.9126779215868
100,-734.378234863281,-737.424377441406,0,180,0,341.864151000977,39.6819224074764,-75.7566269764337,0,0.201620860115824,20.1142987817027
101,-734.1865234375,-737.487060546875,0,180,0,341.916553497314,39.6819218443304,-75.7566247384712,0,0.20169889064218,20.3159976723448
102,-733.994812011719,-737.549560546875,0,180,0,341.969121932983,39.6819212828295,-75.7566225005087,0,0.201642061026661,20.5176397333715
103,-733.802978515625,-737.61181640625,0,180,0,342.021856307983,39.681920723522,-75.7566202611213,0,0.201682627536609,20.7193223609081
104,-733.611145019531,-737.674011230469,0,180,0,342.074760437012,39.6819201647627,-75.7566180217338,0,0.201663795419882,20.920986156328
105,-733.419250488281,-737.736022949219,0,180,0,342.127830505371,39.6819196076485,-75.7566157816338,0,0.201665476435572,21.1226516327636
106,-733.227233886719,-737.797790527344,0,180,0,342.18106842041,39.6819190527277,-75.7566135401089,0,0.201706740053573,21.3243583728171
107,-733.035278320313,-737.859375,0,180,0,342.23447227478,39.6819184994518,-75.7566112992964,0,0.201592625724982,21.5259509985421
108,-732.843139648438,-737.920776367188,0,180,0,342.28804397583,39.681917947821,-75.7566090563465,0,0.201711172527411,21.7276621710695
109,-732.651000976562,-737.982116699219,0,180,0,342.34178352356,39.6819173967385,-75.7566068133965,0,0.20169260165805,21.9293547727276
110,-732.458801269531,-738.043151855469,0,180,0,342.39568901062,39.6819168483977,-75.756604569734,0,0.201658170380871,22.1310129431084
111,-732.266540527344,-738.10400390625,0,180,0,342.44976234436,39.681916301702,-75.7566023253591,0,0.201661015247797,22.3326739583562
112,-732.07421875,-738.164733886719,0,180,0,342.503999710083,39.6819157561029,-75.7566000802716,0,0.201682415119399,22.5343563734756
113,-731.8818359375,-738.225341796875,0,180,0,342.558406829834,39.6819152116004,-75.7565978344717,0,0.20170390506611,22.7360602785418
114,-731.689392089844,-738.285583496094,0,180,0,342.612981796265,39.6819146703881,-75.7565955879592,0,0.201652415868257,22.93771269441
115,-731.496887207031,-738.345764160156,0,180,0,342.667722702026,39.681914129724,-75.7565933407342,0,0.201692444661811,23.1394051390718
116,-731.305969238281,-738.4052734375,0,180,0,342.665966033936,39.6819135950917,-75.7565911120343,0,0.199977560945225,23.3393827000171
117,-731.117736816406,-738.464172363281,0,180,0,342.574876785278,39.6819130659429,-75.7565889146843,0,0.197232168023153,23.5366148680402
118,-730.9296875,-738.523376464844,0,180,0,342.483955383301,39.6819125340523,-75.7565867194718,0,0.197148855037712,23.7337637230779
119,-730.741638183594,-738.582946777344,0,180,0,342.393199920654,39.6819119988716,-75.7565845242594,0,0.197259138019524,23.9310228610974
