index,x,y,z,yaw,pitch,roll,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
90,-730.1689453125,-734.661987304688,0,340.222967147827,0,180,39.6819472248257,-75.756577838872,0,0.200110859619147,17.8415454614581
91,-729.981079101563,-734.7294921875,0,340.212915420532,0,180,39.681946618361,-75.756575645797,0,0.199626206735345,18.0411716681935
92,-729.794372558594,-734.796813964844,0,340.163969039917,0,180,39.6819460135414,-75.7565734662596,0,0.198473058353176,18.2396447265466
93,-729.607604980469,-734.8642578125,0,340.115188598633,0,180,39.681945407625,-75.7565712860096,0,0.198571903413744,18.4382166299604
94,-729.421020507813,-734.931823730469,0,340.06657409668,0,180,39.6819448006121,-75.7565691078971,0,0.198441222298621,18.636657852259
95,-729.234436035156,-734.999633789063,0,340.018123626709,0,180,39.6819441914057,-75.7565669297847,0,0.198524480815084,18.8351823330741
96,-729.047912597656,-735.067565917969,0,339.969839096069,0,180,39.6819435811026,-75.7565647523847,0,0.198508858428413,19.0336911915025
97,-728.861450195313,-735.135620117188,0,339.921722412109,0,180,39.6819429697029,-75.7565625756972,0,0.198493328651388,19.2321845201539
98,-728.675048828125,-735.203857421875,0,339.873769760132,0,180,39.6819423566581,-75.7565603997223,0,0.198498865085884,19.4306833852398
99,-728.488708496094,-735.272216796875,0,339.825983047485,0,180,39.6819417425167,-75.7565582244598,0,0.198483559752205,19.629166944992
100,-728.302429199219,-735.3408203125,0,339.778364181519,0,180,39.6819411261818,-75.7565560499099,0,0.198510500478826,19.8276774454708
101,-728.116149902344,-735.409484863281,0,339.730907440186,0,180,39.6819405092986,-75.7565538753599,0,0.198531601963605,20.0262090474344
102,-727.929992675781,-735.478332519531,0,339.683618545532,0,180,39.6819398907704,-75.7565517022349,0,0.198480509805271,20.2246895572397
103,-727.743896484375,-735.54736328125,0,339.63649559021,0,180,39.6819392705972,-75.7565495298225,0,0.198486872410702,20.4231764296504
104,-727.557861328125,-735.616516113281,0,339.589538574219,0,180,39.6819386493273,-75.7565473581225,0,0.198472148018064,20.6216485776684
105,-727.371887207031,-735.685791015625,0,339.54274559021,0,180,39.6819380269607,-75.756545187135,0,0.198457516389097,20.8201060940575
106,-727.185974121094,-735.755310058594,0,339.496122360229,0,180,39.6819374024008,-75.7565430168601,0,0.198485699379313,21.0185917934368
107,-727.000061035156,-735.824890136719,0,339.449661254883,0,180,39.6819367772924,-75.7565408465851,0,0.198507084998711,21.2170988784356
108,-726.814270019531,-735.894653320313,0,339.403366088867,0,180,39.6819361505391,-75.7565386777352,0,0.198457056493601,21.4155559349292
109,-726.628479003906,-735.964538574219,0,339.357238769531,0,180,39.6819355226891,-75.7565365088852,0,0.198500000505063,21.6140559354342
110,-726.442749023438,-736.034606933594,0,339.311273574829,0,180,39.681934893194,-75.7565343407477,0,0.198507432179318,21.8125633676135
111,-726.257141113281,-736.104858398438,0,339.265478134155,0,180,39.6819342620539,-75.7565321740353,0,0.198457966897938,22.0110213345115
112,-726.071533203125,-736.175109863281,0,339.219844818115,0,180,39.6819336309138,-75.7565300073228,0,0.198457966897938,22.2094793014094
113,-725.886047363281,-736.245666503906,0,339.174381256104,0,180,39.681932997032,-75.7565278420353,0,0.198452100817368,22.4079314022268
114,-725.700500488281,-736.316284179688,0,339.129081726074,0,180,39.6819323626019,-75.7565256760354,0,0.198530851393458,22.6064622536202
115,-725.51513671875,-736.387145996094,0,339.083946228027,0,180,39.6819317259784,-75.7565235121729,0,0.198446778959064,22.8049090325793
116,-725.329711914063,-736.4580078125,0,339.03897857666,0,180,39.6819310893549,-75.7565213475979,0,0.198503791444372,23.0034128240237
117,-725.144470214844,-736.529113769531,0,338.994176864624,0,180,39.681930450538,-75.7565191851605,0,0.198420120589571,23.2018329446132
118,-724.959167480469,-736.600341796875,0,338.94953918457,0,180,39.6819298106244,-75.7565170220105,0,0.198520868540649,23.4003538131539
119,-724.774047851563,-736.671752929688,0,338.905069351196,0,180,39.6819291690658,-75.7565148609981,0,0.198415792960017,23.5987696061139
120,-724.5888671875,-736.743225097656,0,338.860763549805,0,180,39.6819285269588,-75.7565126992731,0,0.198494708082562,23.7972643141965
121,-724.403747558594,-736.814819335938,0,338.816623687744,0,180,39.6819278837552,-75.7565105382606,0,0.198481767327531,23.995746081524
122,-724.21875,-736.886657714844,0,338.772651672363,0,180,39.6819272383582,-75.7565083786732,0,0.198456164856438,24.1942022463804
