index,y,x,z,roll,yaw,pitch,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
103,-733.802978515625,737.61181640625,0,0,72.0218563079834,0,0.00179115709055111,0.0011437697039637,0,0.201682627536609,20.7193223609081
104,-733.611145019531,737.674011230469,0,0,72.0747604370117,0,0.00179059838494311,0.00114549297359777,0,0.201663795419882,20.920986156328
105,-733.419250488281,737.736022949219,0,0,72.1278305053711,0,0.0017900413241847,0.00114721679151998,0,0.201665476435572,21.1226516327636
106,-733.227233886719,737.797790527344,0,0,72.1810684204102,0,0.00178948645657329,0.00114894170601848,0,0.201706740053573,21.3243583728171
107,-733.035278320313,737.859375,0,0,72.2344722747803,0,0.00178893323383988,0.00115066607222883,0,0.201592625724982,21.5259509985421
108,-732.843139648438,737.920776367188,0,0,72.2880439758301,0,0.00178838165597028,0.00115239208330361,0,0.201711172527411,21.7276621710695
109,-732.651000976562,737.982116699219,0,0,72.3417835235596,0,0.00178783062638388,0.0011541180943784,0,0.20169260165805,21.9293547727276
110,-732.458801269531,738.043151855469,0,0,72.3956890106201,0,0.00178728233824188,0.00115584465374132,0,0.201658170380871,22.1310129431084
111,-732.266540527344,738.10400390625,0,0,72.4497623443604,0,0.00178673569496368,0.00115757176139239,0,0.201661015247797,22.3326739583562
112,-732.07421875,738.164733886719,0,0,72.503999710083,0,0.00178619014825188,0.0011592994173316,0,0.201682415119399,22.5343563734756
113,-731.8818359375,738.225341796875,0,0,72.558406829834,0,0.00178564569812067,0.00116102762155896,0,0.20170390506611,22.7360602785418
114,-731.689392089844,738.285583496094,0,0,72.6129817962647,0,0.0017851045377455,0.00116275637407446,0,0.201652415868257,22.93771269441
115,-731.496887207031,738.345764160156,0,0,72.6677227020264,0,0.0017845639256393,0.0011644856748781,0,0.201692444661811,23.1394051390718
116,-731.305969238281,738.4052734375,0,0,72.6659660339355,0,0.00178402934469091,0.00116620072019002,0,0.199977560945225,23.3393827000171
117,-731.117736816406,738.464172363281,0,0,72.5748767852783,0,0.00178350024664553,0.00116789164082364,0,0.197232168023153,23.5366148680402
118,-730.9296875,738.523376464844,0,0,72.4839553833008,0,0.00178296840712733,0.00116958091659283,0,0.197148855037712,23.7337637230779
119,-730.741638183594,738.582946777344,0,0,72.3931999206543,0,0.00178243327792416,0.00117127019236201,0,0.197259138019524,23.9310228610974
120,-730.553771972656,738.642761230469,0,0,72.3026123046875,0,0.00178189595553135,0.00117295782326677,0,0.197158520015383,24.1281813811128
121,-730.365905761719,738.702880859375,0,0,72.2121925354004,0,0.00178135589170836,0.00117464545417153,0,0.197251319366534,24.3254327004794
122,-730.17822265625,738.763244628906,0,0,72.1219387054443,0,0.00178081363473837,0.00117633144021186,0,0.197151547674412,24.5225842481538
123,-729.990539550781,738.823974609375,0,0,72.0318508148193,0,0.00178026808802656,0.00117801742625219,0,0.197263982029484,24.7198482301832
124,-729.803039550781,738.885009765625,0,0,71.9419326782227,0,0.00177971979988456,0.00117970176742809,0,0.197184026478977,24.9170322566622
125,-729.615661621094,738.9462890625,0,0,71.852180480957,0,0.00177916931859556,0.00118138501202771,0,0.197143705858108,25.1141759625203
126,-729.428283691406,739.007873535156,0,0,71.7625942230225,0,0.00177861609586216,0.00118306825662732,0,0.19723877865755,25.3114147411779
127,-729.241088867188,739.069763183594,0,0,71.6731758117676,0,0.00177806013168436,0.0011847498563625,0,0.197160418943575,25.5085751601215
