total_distance_traveled,x,y,z,vx,vy,vz,yaw,pitch,roll
115.26484673401072,300.016174316406,168.270645141602,0.193013817071915,13.672887802124,0.448608249425888,3.0136106943246e-05,3.17439532279968,3.14159059524536,0.008266924880445
116.0719211955051,300.822814941406,168.297103881836,0.192860320210457,13.3835802078247,0.439140886068344,3.05747962556779e-05,3.17439699172974,3.14159035682678,0.007961749099195
118.09910518514846,302.848907470703,168.363616943359,0.192803397774696,12.5528793334961,0.411940723657608,-4.39643872596207e-06,3.17440128326416,3.14159059524536,0.00784671306610107
118.8224863770661,303.571899414062,168.387344360352,0.192712068557739,12.2365455627441,0.401579737663269,4.50134257334867e-06,3.17440295219421,3.14159059524536,0.00766670657321811
120.13972559282271,304.888427734375,168.430526733398,0.195471778512001,10.6657161712646,0.350062817335129,-0.000270900723990053,3.17440819740295,3.14159059524536,0.0130995502695441
120.13972559282271,304.888427734375,168.430526733398,0.195471778512001,10.6657161712646,0.350062817335129,-0.000270900723990053,3.17440819740295,3.14159059524536,0.0130995502695441
122.16041342008921,306.908020019531,168.496932983398,0.191408902406693,8.24364185333252,0.2690070271492,-0.105864562094212,3.17444324493408,3.14095735549927,0.0235204678028822
122.60546816871758,307.352813720703,168.511474609375,0.186844497919083,7.69576263427734,0.251470565795898,-0.110282406210899,3.17444181442261,3.14092874526978,0.026619790121913
123.51058395003358,308.257385253906,168.541091918945,0.176465004682541,6.54590320587158,0.214130342006683,-0.0962991490960121,3.17443060874939,3.14086270332336,0.0320926904678345
124.15394166206215,308.900299072266,168.562164306641,0.165199026465416,5.92645168304443,0.193230658769608,-0.107476525008678,3.17443752288818,3.14064764976501,0.0312319975346327
124.49726824232029,309.243347167969,168.573379516602,0.157114237546921,5.92224979400635,0.193389311432838,-0.108626298606396,3.1744327545166,3.14063334465027,0.0276910066604614
124.84769982621498,309.593505859375,168.584808349609,0.149331718683243,5.62344455718994,0.183766037225723,-0.102319650352001,3.17443013191223,3.14063119888306,0.02495276927948
125.60303050312783,310.348358154297,168.609466552734,0.138635113835335,3.71337151527405,0.121472917497158,-0.0659901425242424,3.17444968223572,3.14063501358032,0.0309202652424574
125.96658355348032,310.711669921875,168.621337890625,0.132765591144562,2.7362425327301,0.0895474478602409,-0.0463591329753399,3.17445778846741,3.14063882827759,0.0317650996148586
125.96658355348032,310.711669921875,168.621337890625,0.132765591144562,2.7362425327301,0.0895474478602409,-0.0463591329753399,3.17445778846741,3.14063882827759,0.0317650996148586
126.36970034985943,311.113464355469,168.652542114258,0.123242929577827,2.12158823013306,0.260517418384552,-0.0343152843415737,3.18830251693726,3.13741445541382,0.0261766891926527
126.58843801472734,311.330932617187,168.675445556641,0.11784353107214,1.89925110340118,0.260528981685638,-0.0313890539109707,3.19803690910339,3.13823342323303,0.0224971752613783
126.69162463105522,311.43310546875,168.689697265625,0.115590758621693,1.76549422740936,0.349359154701233,-0.0290207769721746,3.20480823516846,3.13750219345093,0.0213557463139296
126.69162463105522,311.43310546875,168.689697265625,0.115590758621693,1.76549422740936,0.349359154701233,-0.0290207769721746,3.20480823516846,3.13750219345093,0.0213557463139296
127.03311429731689,311.768463134766,168.753784179687,0.109010830521584,1.35145831108093,0.417867332696915,-0.0221168790012598,3.23596835136414,3.13733410835266,0.0193132143467665
127.19152119154599,311.92138671875,168.795013427734,0.106314405798912,1.15906488895416,0.416797816753387,-0.0189814269542694,3.2564971446991,3.1372857093811,0.0188403129577637
127.19152119154599,311.92138671875,168.795013427734,0.106314405798912,1.15906488895416,0.416797816753387,-0.0189814269542694,3.2564971446991,3.1372857093811,0.0188403129577637
127.37743897945971,312.096923828125,168.856185913086,0.1031404286623,0.903108716011047,0.437714993953705,-0.012087264098227,3.28732848167419,3.13726806640625,0.0183241348713636
127.46591379995505,312.178527832031,168.890350341797,0.101969011127949,0.6650151014328,0.383593320846558,-0.0111065190285444,3.30418419837952,3.13796305656433,0.0185904502868652
127.50557470109551,312.214660644531,168.906692504883,0.101385362446308,0.574735999107361,0.342884868383408,-0.00986396800726652,3.3122136592865,3.13849186897278,0.0186537504196167
127.50557470109551,312.214660644531,168.906692504883,0.101385362446308,0.574735999107361,0.342884868383408,-0.00986396800726652,3.3122136592865,3.13849186897278,0.0186537504196167
127.6151664217309,312.311401367187,168.958145141602,0.0993349999189377,0.397984713315964,0.306863635778427,-0.00564451701939106,3.33876609802246,3.13833665847778,0.0176204424351454
127.67670551429056,312.362365722656,168.992599487305,0.0977248921990395,0.410689651966095,0.382418751716614,-0.00669951410964131,3.35761547088623,3.13623237609863,0.01600182056427
127.67670551429056,312.362365722656,168.992599487305,0.0977248921990395,0.410689651966095,0.382418751716614,-0.00669951410964131,3.35761547088623,3.13623237609863,0.01600182056427
127.75072181989131,312.429534912109,169.023666381836,0.0964752733707428,0.362270385026932,0.109478436410427,-0.00514606479555368,3.36954212188721,3.14095187187195,0.016119597479701
127.7865138530543,312.464599609375,169.030822753906,0.0959069579839706,0.303569376468658,0.042635478079319,-0.00585906952619553,3.36883521080017,3.14125871658325,0.0164157152175903
127.80290425462127,312.480743408203,169.033645629883,0.0956737324595451,0.268372118473053,0.0318260490894318,-0.00454536406323314,3.36814284324646,3.14050650596619,0.0165178775787354
127.80290425462127,312.480743408203,169.033645629883,0.0956737324595451,0.268372118473053,0.0318260490894318,-0.00454536406323314,3.36814284324646,3.14050650596619,0.0165178775787354
127.8486296975278,312.526092529297,169.039443969727,0.0948658958077431,0.172304853796959,0.00904666259884834,-0.00291747087612748,3.3641791343689,3.13846707344055,0.0163911562412977
127.86631723276197,312.543731689453,169.04069519043,0.0944872424006462,0.142842143774033,-0.000305971130728722,-0.00249912263825536,3.36217260360718,3.13813900947571,0.0161924362182617
127.86631723276197,312.543731689453,169.04069519043,0.0944872424006462,0.142842143774033,-0.000305971130728722,-0.00249912263825536,3.36217260360718,3.13813900947571,0.0161924362182617
127.8886940777004,312.566101074219,169.040817260742,0.0939225181937218,0.239758104085922,-0.0323373228311539,-0.000701260578352958,3.3584611415863,3.13826441764832,0.0157711487263441
127.92550058478112,312.602874755859,169.0400390625,0.092577263712883,0.357250332832336,-0.0368096344172955,-0.00639488222077489,3.35171914100647,3.13931202888489,0.0143756866455078
127.9495414613259,312.626861572266,169.038528442383,0.0920165404677391,0.457010686397552,-0.0833640918135643,-0.00789246521890163,3.34661173820496,3.13999772071838,0.0141152134165168
127.9495414613259,312.626861572266,169.038528442383,0.0920165404677391,0.457010686397552,-0.0833640918135643,-0.00789246521890163,3.34661173820496,3.13999772071838,0.0141152134165168
128.08208941371825,312.757873535156,169.018569946289,0.0894702300429344,0.784932076931,-0.236096382141113,-0.0131865311414003,3.31086778640747,3.14245772361755,0.0135613679885864
128.18673442786437,312.860656738281,168.9990234375,0.0874389410018921,1.06428635120392,-0.349530518054962,-0.0178486444056034,3.28232932090759,3.14386916160583,0.0129605522379279
128.25666745945725,312.929870605469,168.989135742187,0.0859213843941689,1.27680599689484,-0.245870769023895,-0.0216441340744495,3.26717686653137,3.14286994934082,0.0123277893289924
128.41918224894422,313.092193603516,168.996200561523,0.0824015215039253,1.68870377540588,0.143310874700546,-0.0269755888730288,3.25833082199097,3.13529992103577,0.0107612609863281
128.63603412395344,313.307678222656,169.020111083984,0.0779968053102493,2.23106503486633,0.262575685977936,-0.0375863797962666,3.25804853439331,3.13475775718689,0.00910794641822577
128.76928817462453,313.440032958984,169.035385131836,0.0756368786096573,2.45761156082153,0.295242160558701,-0.0411633662879467,3.25802826881409,3.13578939437866,0.00882899668067694
129.2349336630064,313.902465820312,169.089431762695,0.0678566917777061,3.1149423122406,0.369260281324387,-0.0513513460755348,3.25803899765015,3.1381151676178,0.00915861129760742
129.58821052646854,314.253295898438,169.130523681641,0.0620041079819202,3.55606865882874,0.418543845415115,-0.05985127389431,3.25804758071899,3.1388373374939,0.00922989845275879
129.82735035323196,314.490783691406,169.158294677734,0.0579820796847343,3.83416199684143,0.449927598237991,-0.0643720477819443,3.25805187225342,3.139084815979,0.0091702938079834
129.82735035323196,314.490783691406,169.158294677734,0.0579820796847343,3.83416199684143,0.449927598237991,-0.0643720477819443,3.25805187225342,3.139084815979,0.0091702938079834
